"case.name","case.issue","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer"
"7341","1998-068","1",1,1,1,2,1,2,1,2,1
"7342","1998-069","4",1,2,2,1,2,2,1,2,2
"7343","1998-070","1",2,2,2,2,2,2,2,2,2
"7344","1998-071","9",2,1,1,1,2,1,1,2,1
"7345","1998-072","3",2,2,2,2,2,2,2,2,2
"7346","1998-073","9",1,1,1,1,1,1,1,1,1
"7347","1998-074","2",1,2,2,1,1,2,1,2,2
"7348","1998-075","7",1,2,1,1,2,2,1,2,2
"7349","1998-076","1",1,1,1,1,2,2,1,1,1
"7350","1998-077","9",1,2,1,1,1,2,1,2,2
"7351","1998-078","6",1,2,1,1,1,1,1,2,1
"7352","1998-079","1",1,2,1,1,1,2,1,2,2
"7353","1998-080","10",1,1,2,1,1,1,1,1,2
"7355","1998-082","2",1,2,1,1,1,1,1,1,1
"7356","1998-083","2",1,2,1,1,1,1,1,1,2
"7357","1998-084","2",1,2,1,1,1,1,1,1,2
"7358","1998-085","2",1,2,1,1,1,2,1,2,2
"7359","1998-087","2",1,2,1,1,1,1,1,1,2
"7360","1998-088","2",1,2,2,1,2,2,1,2,2
"7361","1998-089","10",1,2,1,1,1,2,1,2,2
"7362","1998-090","10",1,2,1,1,1,2,1,2,2
"7363","1998-091","10",1,2,1,1,1,2,1,2,2
"7364","1998-092","9",1,2,1,1,1,1,1,1,2
"7365","1998-093","2",1,2,1,1,1,1,1,1,1
"7366","1999-001","9",2,2,2,1,2,2,1,2,2
"7367","1999-002","2",1,2,1,1,1,1,1,1,1
"7368","1999-003","2",1,2,1,1,1,1,1,1,1
"7369","1999-004","2",1,2,1,1,1,1,1,1,1
"7370","1999-005","2",1,2,1,1,1,1,1,1,1
"7371","1999-007","1",2,2,2,2,2,2,2,2,2
"7372","1999-008","2",1,2,1,1,1,1,1,1,1
"7373","1999-009","2",2,2,2,2,2,2,2,2,2
"7374","1999-010","9",1,1,1,1,1,1,1,1,1
"7375","1999-011","3",1,2,1,1,2,1,1,1,1
"7376","1999-012","12",2,2,2,2,2,2,2,2,2
"7377","1999-013","10",1,2,1,1,1,2,1,2,2
"7378","1999-016","1",1,1,1,1,1,1,1,1,1
"7379","1999-017","1",1,2,1,1,1,2,1,2,2
"7380","1999-018","10",2,2,2,2,2,2,2,2,2
"7381","1999-019","1",1,1,1,1,1,1,1,1,1
"7382","1999-020","9",2,2,2,2,2,2,2,2,2
"7383","1999-021","1",1,2,1,1,1,2,1,2,2
"7384","1999-022","2",2,2,2,2,2,2,2,2,2
"7385","1999-023","2",1,2,1,1,1,2,1,2,2
"7386","1999-024","1",1,1,1,1,1,1,1,1,1
"7387","1999-025","2",1,2,1,1,1,2,1,2,2
"7388","1999-026","3",2,2,2,1,1,2,1,2,2
"7389","1999-027","12",2,2,2,2,2,2,2,2,2
"7390","1999-028","8",1,1,1,1,1,1,1,1,1
"7391","1999-029","8",1,1,1,1,1,1,1,1,1
"7392","1999-030","1",1,2,1,1,1,2,1,2,1
"7393","1999-031","2",1,2,1,1,1,1,1,2,1
"7394","1999-032","9",1,1,1,1,1,1,1,1,1
"7395","1999-033","2",2,2,2,2,2,2,2,2,2
"7396","1999-034","9",1,2,1,2,2,1,2,1,1
"7397","1999-035","1",1,1,1,1,1,1,1,1,1
"7398","1999-036","1",1,1,1,1,1,2,1,2,1
"7399","1999-037","10",2,2,2,2,2,2,2,2,2
"7400","1999-038","8",1,2,1,1,1,2,1,2,2
